codi,LST_zone,SOS,POS,EOS,GSL
0024426AR,4,83.84692346173087,149.18459229614805,336.12806403201597,252.28114057028512
0024489AR,1,78.84942471235617,215.26263131565779,345.9379689844922,267.08854427213606
0024516AR,4,74.59229614807403,222.85142571285638,347.4187093546773,272.82641320660326
0024858AR,1,69.77988994497248,177.50375187593795,339.8299149574787,270.05002501250624
0025020AR,1,74.40720360180089,173.80190095047524,334.64732366183085,260.24012006003
0025029AR,4,73.11155577788894,136.59829914957476,334.2771385692846,261.16558279139565
0025041AR,4,95.69284642321159,141.7808904452226,280.23011505752874,184.53726863431714
0025142AR,4,91.43571785892946,139.18959479739868,307.2536268134067,215.81790895447722
0025215AR,4,78.29414707353676,159.73486743371686,357.2286143071535,278.9344672336168
0025280AR,1,75.14757378689345,141.96598299149574,338.53426713356674,263.38669334667327
0025325AR,1,77.73886943471734,164.5472736368184,341.6808404202101,263.94197098549273
0025443AR,1,70.8904452226113,132.34117058529264,338.34917458729365,267.4587293646823
0025609AR,4,54.417208604302154,131.41570785392693,341.4957478739369,287.07853926963475
0025818AR,4,90.6953476738369,168.61930965482742,271.5307653826913,180.83541770885438
0026041AR,1,67.74387193596799,145.11255627813907,336.4982491245623,268.7543771885943
0026078AR,4,63.67183591795897,151.59079539769883,355.0075037518759,291.33566783391694
0030676AR,1,66.26313156578288,117.71885942971484,336.3131565782891,270.05002501250624
0030785AR,1,69.4097048524262,122.16108054027013,333.7218609304652,264.312156078039
0031240AR,1,65.89294647323662,117.34867433716857,347.7888944472236,281.89594797398695
0031690AR,1,65.89294647323662,116.97848924462231,334.64732366183085,268.7543771885942
0032587AR,1,68.8544272136068,122.34617308654326,332.79639819909954,263.94197098549273
0032973AR,1,68.48424212106053,122.5312656328164,335.01750875437716,266.53326663331666
0033052AR,1,66.81840920460229,121.05052526263131,357.7838919459729,290.96548274137064
0033123AR,1,67.55877938969483,121.42071035517758,346.30815407703847,278.7493746873436
0038491AR,1,60.525262631315655,109.75987993996998,324.0970485242621,263.5717858929464
0038505AR,1,62.561280640320156,118.4592296148074,341.86593296648323,279.3046523261631
0038853AR,1,63.48674337168584,123.27163581790894,335.57278639319657,272.0860430215107
0040785AR,1,53.1215607803902,109.01950975487743,275.6028014007003,222.48124062031007
0040876AR,1,68.8544272136068,178.05902951475736,336.4982491245623,267.64382191095547
0041832AR,1,60.525262631315655,170.28514257128563,331.5007503751876,270.9754877438719
0041888AR,1,67.74387193596799,159.54977488744373,331.3156578289144,263.5717858929464
0042055AR,1,68.11405702851425,173.2466233116558,338.53426713356674,270.4202101050525
0048724AR,1,64.22711355677838,232.66133066533263,353.3416708354177,289.1145572786393
0048732AR,1,72.55627813906953,216.37318659329662,340.200100050025,267.64382191095547
0048746AR,1,58.30415207603801,158.06903451725861,339.08954477238615,280.78539269634814
0048751AR,1,59.599799899949964,189.90495247623812,339.8299149574787,280.23011505752874
0048789AR,1,60.525262631315655,216.37318659329662,324.8374187093546,264.3121560780389
0048860AR,1,95.32266133066533,342.7913956978489,370.0,274.6773386693347
0048867AR,1,0.0,266.9034517258629,370.0,370.0
0048868AR,1,46.45822911455728,193.9769884942471,334.2771385692846,287.8189094547273
0048879AR,1,0.0,266.16308154077035,370.0,370.0
0048891AR,1,57.1935967983992,192.49624812406202,344.8274137068534,287.6338169084542
0048901AR,1,74.03701850925462,162.69634817408703,310.2151075537769,236.17808904452227
0048908AR,1,72.55627813906953,141.7808904452226,327.0585292646323,254.50225112556274
0048926AR,1,82.92146073036517,207.67383691845922,332.6113056528264,249.68984492246122
0048954AR,1,70.33516758379189,146.408204102051,368.70435217608804,298.36918459229616
0048971AR,1,63.85692846423211,156.9584792396198,332.2411205602801,268.38419209604797
0048975AR,1,76.81340670335167,193.05152576288143,370.0,293.1865932966483
0049014AR,1,70.52026013006503,198.97448724362178,368.5192596298149,297.99899949974986
0049026AR,1,74.40720360180089,204.8974487243622,370.0,295.5927963981991
0049043AR,1,76.07303651825913,151.59079539769883,366.48324162081036,290.41020510255123
0049063AR,1,80.88544272136068,165.28764382191093,345.3826913456728,264.49724862431214
0049066AR,1,76.4432216108054,175.83791895947974,370.0,293.5567783891946
0049077AR,1,82.92146073036517,147.3336668334167,370.0,287.0785392696348
